斐波那契数列前 30 项
========================================
定义: F(1)=1, F(2)=1, F(n)=F(n-1)+F(n-2)

第  1 项: 1
第  2 项: 1
第  3 项: 2
第  4 项: 3
第  5 项: 5
第  6 项: 8
第  7 项: 13
第  8 项: 21
第  9 项: 34
第 10 项: 55
第 11 项: 89
第 12 项: 144
第 13 项: 233
第 14 项: 377
第 15 项: 610
第 16 项: 987
第 17 项: 1597
第 18 项: 2584
第 19 项: 4181
第 20 项: 6765
第 21 项: 10946
第 22 项: 17711
第 23 项: 28657
第 24 项: 46368
第 25 项: 75025
第 26 项: 121393
第 27 项: 196418
第 28 项: 317811
第 29 项: 514229
第 30 项: 832040

========================================
第 30 项的值: 832040
